unprecedented	전례 없는
acceleration	가속, 가속화
technological innovation	기술 혁신
provoke	촉발하다, 유발하다
reevaluation	재평가
exercise (agency)	(주체성을) 행사하다
human agency	인간의 행위 주체성
Enlightenment	계몽주의
conception (of)	개념, 이해
rational autonomy	합리적 자율성
deliberate (v.)	숙고하다
entangled (with)	뒤얽힌, 얽혀 있는
opaque	불투명한, 불분명한
operations	작동, 운용
complex technological systems	복잡한 기술 체계
artificial intelligence	인공지능
extend (human capacities)	(인간 능력을) 확장하다
reconfigure	재구성하다
conditions (under which)	(그 아래에서의) 조건
algorithms	알고리즘
shape (preferences)	(선호를) 형성하다
consumer preferences	소비자 선호
filter (discourse)	(담론을) 걸러내다
political discourse	정치적 담론
anticipate	예상하다, 예측하다
criminal behavior	범죄 행위
thereby	그로 인해, 그리하여
exert (power/influence)	(힘·영향을) 행사하다
anticipatory governance	예측적 지배/통치
the line between A and B	A와 B 사이의 경계
machine influence	기계(알고리즘)의 영향
blurred	흐릿해진, 모호한
primary authors (of actions)	행동의 주요 주체
cybernetic feedback loop	사이버네틱 피드백 루프
critics contend	비평가들은 주장한다
erosion (of agency)	(주체성의) 약화·침식
threaten the notion	개념을 위협하다
responsibility	책임
scaffolded	구조적으로 지탱된, 뒷받침된
predetermined	미리 결정된
algorithmic infrastructures	알고리즘적 기반 구조
traditional frameworks	전통적 틀/체계
moral and legal accountability	도덕적·법적 책임성
prove inadequate	불충분한 것으로 드러나다
conceive (as)	~로 이해하다/간주하다
isolated faculty	고립된 능력
distributed phenomenon	분산된 현상
emerge (from)	~에서 발생하다/나오다
dynamic interplay	역동적 상호작용
technological mediation	기술적 매개(중개)
socio-political structures	사회·정치적 구조
# Core Academic Verbs & Nouns
underscore	강조하다, 밑줄 긋다
delineate	윤곽을 그리다, 상세히 설명하다
elucidate	명확히 설명하다
explicate	해명하다, 해석하다
articulate	분명히 표현하다
circumscribe	제한하다, 경계를 정하다
constrain	제한하다, 강요하다
contend	주장하다, 다투다
stipulate	규정하다, 명기하다
construe	해석하다
adduce	증거로 제시하다
allude	암시하다, 넌지시 언급하다
